Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,210200,216100,208900,220600,132800,166400
Feb 2005,101,101,101.8,101.2,100.4,100.3,212300,218300,212700,223200,133300,166900
Mar 2005,101.9,102,102,102.9,100.9,100.6,214100,220500,213100,227000,134000,167400
Apr 2005,102.8,103.1,103.4,103.4,101.3,100.9,216100,222700,216100,228100,134500,167900
May 2005,103.3,103.5,103.9,104,101.7,101.2,217200,223600,217100,229400,135000,168400
Jun 2005,103.4,103.7,103.7,104.1,102.2,101.5,217300,224100,216600,229600,135700,168900
Jul 2005,104.5,105,104.7,106,102.6,100.6,219700,226800,218700,233800,136200,167400
Aug 2005,105.2,105.9,106.4,105.3,102.9,99.8,221200,228800,222200,232300,136700,166000
Sep 2005,106,106.5,106.8,107.1,103.5,99,222900,230200,223100,236300,137400,164700
Oct 2005,107.1,107.7,109.2,106.3,103.8,101.8,225100,232800,228200,234500,137900,169400
Nov 2005,107.1,107.5,107.8,106.6,104.4,104.7,225100,232300,225100,235200,138600,174200
Dec 2005,109.1,109.5,111.4,107.4,104.7,107.6,229300,236700,232700,236900,139100,179000
Jan 2006,109,109.3,110.5,108.1,105.9,107.2,229200,236200,230800,238500,140600,178400
Feb 2006,108.9,109.1,110.1,108.9,107.1,106.9,229000,235700,230100,240200,142200,177900
Mar 2006,109.1,109.3,110.7,108.9,108.3,106.5,229300,236300,231200,240200,143800,177200
Apr 2006,110.3,110.6,111.4,111,109.3,106.5,231900,239100,232800,244900,145200,177200
May 2006,110.5,110.8,110.9,111.9,110.5,106.6,232200,239500,231700,246800,146800,177400
Jun 2006,109.8,110.1,110.5,110.5,111.7,106.6,230800,237900,230800,243800,148400,177400
Jul 2006,110.3,110.6,110.7,111.5,112,107.1,231800,239000,231300,246000,148800,178200
Aug 2006,110.9,111.2,111.4,111.1,112.3,107.5,233100,240300,232700,245100,149200,178900
Sep 2006,111,111.1,111.7,111.4,112.7,108,233400,240000,233400,245700,149600,179700
Oct 2006,111,111.2,110.9,111.3,112.9,109.1,233400,240200,231700,245500,149900,181500
Nov 2006,111.3,111.4,111.1,111.1,113.2,110.2,234000,240700,232100,245100,150300,183400
Dec 2006,109.7,109.7,109.8,108.7,113.5,111.4,230500,237000,229300,239800,150700,185300
Jan 2007,111.9,111.9,112.4,111.2,113.5,110.7,235200,241900,234800,245300,150700,184200
Feb 2007,112.9,113.1,114.8,112,113.5,110.1,237400,244500,239900,247100,150700,183200
Mar 2007,113.2,113.4,114,113.6,113.5,109.5,237900,245100,238200,250600,150700,182200
Apr 2007,113.4,113.5,113.7,114.5,113.5,112.1,238300,245200,237600,252600,150700,186500
May 2007,113.4,113.4,114.3,114,113.5,114.6,238400,245100,238700,251500,150700,190700
Jun 2007,115.3,115.4,117.2,114.7,113.5,117.3,242300,249300,244800,253000,150700,195200
Jul 2007,115.4,115.5,116.9,115.3,113.7,115.5,242600,249600,244300,254300,151000,192200
Aug 2007,116.1,116.3,117.9,115.2,113.9,113.7,244000,251400,246300,254100,151200,189200
