Date,Composite_HPI_GTA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA_GTA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
05-Jan,100,100,100,100,100,100,305900,346800,305700,360900,221200,201700
05-Feb,100.4,100.6,101.1,100.6,100,99.8,307200,348900,309100,362900,221100,201300
05-Mar,100.9,101.2,101.3,101.2,100.1,100.1,308600,350900,309600,365300,221500,201900
05-Apr,101.4,101.8,102.1,101.9,100.5,100.2,310200,353200,312000,367800,222400,202200
05-May,101.9,102.5,102.8,102.3,100.9,101,311800,355400,314400,369300,223300,203700
05-Jun,102.4,102.9,102.9,102.9,101.4,101.3,313100,357000,314600,371300,224200,204300
05-Jul,102.8,103.3,103.3,103.4,101.7,101.5,314500,358400,315800,373200,225000,204800
05-Aug,103.4,103.9,104.2,103.9,102.2,101.9,316200,360400,318500,375000,226000,205600
05-Sep,103.9,104.4,104.6,104.4,102.6,102.5,317700,362100,319800,376600,227000,206800
05-Oct,104.4,105,105.4,105,103.2,102.9,319300,364200,322200,378800,228200,207600
05-Nov,104.8,105.6,105.4,105.7,103.4,103.2,320700,366200,322200,381600,228800,208200
05-Dec,105.5,106,106.3,106,104,104.3,322600,367500,325100,382400,230000,210400
06-Jan,105.9,106.6,106.7,106.5,104.4,104.7,324100,369600,326200,384500,230900,211200
06-Feb,106.3,106.8,107.1,106.8,104.7,105.3,325200,370300,327500,385400,231700,212400
06-Mar,106.9,107.5,108.3,107.3,105.4,105.2,326900,372900,331200,387100,233100,212100
06-Apr,107.4,108,108.4,108,105.7,105.9,328500,374700,331500,389700,233900,213500
06-May,107.7,108.6,109.1,108.5,106,105.8,329500,376600,333400,391400,234500,213300
06-Jun,107.8,108.4,109.1,108.2,106.4,106.1,329700,375800,333400,390500,235400,214100
06-Jul,107.9,108.6,109.1,108.5,107,106.1,330200,376500,333500,391500,236700,214100
06-Aug,108,108.7,109.1,108.7,107.1,106,330300,376800,333400,392200,236900,213800
06-Sep,108.3,108.9,108.9,109,107.5,106.9,331400,377700,332900,393300,237700,215600
06-Oct,108.5,109,109.1,109.1,107.5,107.1,331900,378100,333500,393800,237900,216100
06-Nov,108.9,109.2,109.6,109.2,108.1,108.2,333000,378800,335000,394000,239100,218200
06-Dec,109.1,109.7,110.3,109.7,108.4,107,333800,380500,337100,395800,239800,215800
07-Jan,109.6,110.3,110.9,110.1,108.8,107.9,335300,382400,339000,397200,240600,217700
07-Feb,110.6,111.1,111.9,111,109.7,108.6,338300,385400,342000,400700,242600,219100
07-Mar,111.3,111.9,112.2,111.7,110,109.7,340400,387900,342900,403300,243300,221200
07-Apr,111.9,112.5,113.1,112.4,110.6,110.6,342400,390200,345700,405500,244700,223000
07-May,112.7,113.3,113.6,113.3,111.4,111.6,344800,393000,347200,408800,246500,225000
07-Jun,113.7,114.4,114.9,114.3,112.3,112.2,347800,396600,351100,412600,248300,226300
07-Jul,114.4,115.1,115.5,115,112.7,113.1,350000,399100,353200,415100,249300,228100
07-Aug,115.1,115.7,115.9,115.7,113.4,114,352000,401200,354300,417500,250900,229900
