Date,Composite_HPI_Hamilton,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA_Hamilton,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,227600,239400,227400,247800,190600,155900
Feb 2005,98.9,99.2,99.3,98.4,98.3,102.6,225200,237400,225900,243900,187300,160000
Mar 2005,100.5,100.7,100.7,100.1,99.4,103.6,228700,241000,229100,248000,189400,161500
Apr 2005,100.7,100.8,100.3,100.7,99.8,103.8,229300,241400,228000,249500,190200,161800
May 2005,100.1,100.3,100.1,100,98.7,105.7,227900,240200,227600,247700,188100,164800
Jun 2005,100.8,101.1,100.3,101,99,105.2,229400,242000,228100,250400,188700,164000
Jul 2005,101.7,102,101.6,101.9,100.3,105.2,231400,244300,231000,252400,191100,164000
Aug 2005,102.2,102.6,102.9,102,100.5,104.5,232600,245600,233900,252800,191500,162900
Sep 2005,102.5,102.5,101.8,102.5,100.8,107,233200,245300,231500,254000,192100,166800
Oct 2005,103,103.5,103,103.5,101,103.4,234500,247700,234200,256400,192500,161200
Nov 2005,103.9,104.4,104.7,103.6,102.2,104.6,236400,250000,238000,256600,194800,163100
Dec 2005,104.6,105,104.9,104.6,99.9,106.2,238100,251400,238500,259100,190400,165600
Jan 2006,105.4,105.8,104.5,106.5,102.4,105.7,239800,253300,237600,264000,195100,164800
Feb 2006,105.3,105.6,105.9,104.7,106,107,239700,252700,240800,259400,202000,166800
Mar 2006,106.2,106.3,106.2,106,106,108.3,241800,254600,241500,262700,202000,168800
Apr 2006,106.9,107.1,106.7,106.8,106.4,107.5,243200,256400,242700,264700,202800,167600
May 2006,107.3,107.8,107.3,107.6,105.9,109,244300,258100,244100,266700,201800,169900
Jun 2006,108,108.5,107.9,108.4,106.7,109.1,245800,259800,245400,268500,203300,170100
Jul 2006,107.6,108.1,107.7,107.9,106.9,108.1,244900,258800,244800,267500,203700,168500
Aug 2006,107.6,108.3,107.7,108.2,105.9,106.4,244900,259200,245000,268100,201800,165900
Sep 2006,109.2,109.5,109,109.3,107.5,110.1,248500,262200,247800,270800,204900,171700
Oct 2006,107.9,107.7,107.5,107.7,108.5,110.4,245500,257900,244400,267000,206800,172100
Nov 2006,109.9,110.4,109.4,110.3,110.1,109.5,250200,264200,248800,273400,209800,170700
Dec 2006,110.5,110.7,109.7,110.7,107.7,112.7,251500,264900,249400,274300,205200,175700
Jan 2007,110.9,111.6,111.8,111.1,108.6,110.3,252500,267100,254200,275400,207000,172000
Feb 2007,111.8,112.7,112.3,112.3,108.6,113.1,254500,269800,255300,278300,207000,176300
Mar 2007,111.6,111.7,110.9,111.9,111.4,111.9,253900,267500,252100,277200,212300,174500
Apr 2007,111.9,112.5,111.5,112.5,110.3,110.6,254600,269300,253600,278800,210200,172400
May 2007,113.6,114,112.9,114,112.2,116.4,258600,272900,256800,282600,213800,181500
Jun 2007,113.5,113.9,113.4,113.6,112.1,118.6,258400,272600,257900,281500,213600,184900
Jul 2007,114.7,115.2,114.7,114.9,112.5,119.2,261100,275700,260800,284600,214400,185800
Aug 2007,115.2,115.1,114.7,114.9,115.3,119.6,262100,275500,260900,284700,219700,186500
Sep 2007,115.2,115.2,114.5,115.1,113.6,119.7,262300,275800,260400,285300,216500,186600
Oct 2007,115.8,116.2,116,116.1,112.1,119.7,263600,278100,263700,287600,213600,186600
Nov 2007,115.4,115.7,115.2,115.4,112.3,120.3,262700,277100,261900,286000,214000,187600
Dec 2007,116.8,117.3,115.5,117.9,114.2,114.3,265900,280900,262700,292100,217600,178200
Jan 2008,118.2,118.6,118.2,118.4,116.5,119.9,269100,284000,268700,293400,222000,186900
Feb 2008,118.6,119.2,117.4,119.8,116.1,120.6,270000,285300,266900,296800,221200,188000
Mar 2008,118.5,118.9,118.2,118.8,116.5,119.3,269600,284700,268800,294500,222000,186000
Apr 2008,118.7,119,118.6,118.8,116.5,121.2,270100,284900,269700,294300,222000,189000
May 2008,118.9,119.3,118.1,119.6,117.4,120.8,270600,285700,268500,296300,223700,188300
Jun 2008,119.1,119.4,118.1,119.5,118.5,123,271100,285800,268600,296200,225800,191800
Jul 2008,118.3,118.3,117.1,118.4,119.1,123.5,269300,283100,266200,293400,227000,192500
Aug 2008,118.8,118.9,116.7,119.9,117.5,123.2,270400,284700,265300,297200,223900,192100
