Date,Composite_HPI_Kitchener,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA_Kitchener,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
05-Jan,100,100,100,100,100,100,197500,212200,204800,214100,146200,121700
05-Feb,101.2,101.3,102,101.1,100.9,101.5,199900,214900,208900,216400,147500,123500
05-Mar,102,102.1,105.4,101.5,101.8,102,201500,216700,215900,217400,148800,124100
05-Apr,102.9,102.9,102.7,102.8,102.7,104,203300,218300,210400,220100,150100,126600
05-May,101.7,102.4,103.6,102.1,103.7,99.7,200900,217300,212100,218500,151600,121300
05-Jun,103,103.2,104.3,102.9,104.6,101.5,203500,219000,213600,220400,152900,123500
05-Jul,104.8,105.5,105.1,105.5,103.8,102,207000,223800,215200,225900,151700,124100
05-Aug,103.4,103.8,105.3,103.5,103,103.5,204200,220200,215600,221500,150600,126000
05-Sep,105.2,105.1,107.8,104.4,102.2,108.4,207700,223100,220700,223600,149400,131900
05-Oct,105.4,105.9,108.8,105.2,103.5,103.9,208200,224700,222900,225300,151300,126500
05-Nov,106,106.4,106.9,106.2,104.9,105.2,209400,225700,218900,227300,153300,128000
05-Dec,106.8,107.8,108.8,107.5,106.3,99.8,211000,228700,222800,230200,155400,121400
06-Jan,107.4,107.6,108.8,107.2,106.4,106.5,212200,228300,222900,229600,155500,129600
06-Feb,107.9,108.4,109.1,108.2,106.6,107.1,213200,230000,223500,231600,155800,130300
06-Mar,108.6,109,108.9,109.1,106.7,107.6,214400,231300,223100,233600,156000,131000
06-Apr,109.6,110.1,110.8,109.9,107,107.5,216500,233700,227000,235400,156400,130800
06-May,110.5,111.3,112,111,107.2,109,218200,236100,229400,237700,156700,132700
06-Jun,110.7,110.9,111.4,110.7,107.5,112.2,218700,235300,228200,237100,157100,136500
06-Jul,110.8,111.4,112.8,111,108,109.1,218800,236400,231100,237700,157900,132800
06-Aug,111,111.9,113.5,111.5,108.5,108.1,219200,237400,232500,238700,158600,131500
06-Sep,110.7,111.6,111.9,111.6,108.9,107.6,218700,236800,229100,238900,159200,131000
06-Oct,111.4,112.1,111,112.3,108.8,109.9,220100,237800,227300,240500,159000,133700
06-Nov,111.1,111.3,112.3,111.1,108.7,111.3,219400,236100,229900,237800,158900,135400
06-Dec,111.5,111.8,111.4,112,108.5,110.8,220300,237300,228100,239800,158700,134900
07-Jan,113.4,113.3,114.7,113.1,109.2,114.2,223900,240500,234900,242100,159600,139000
07-Feb,113,113.3,114.1,113.1,109.8,113.1,223100,240500,233700,242200,160600,137600
07-Mar,113.7,113.9,115.3,113.5,110.5,114.5,224500,241700,236200,243100,161500,139300
07-Apr,113.8,114.2,115,114,110.6,112.9,224700,242400,235600,244100,161700,137400
07-May,114.2,114.6,115.2,114.5,110.8,115.4,225600,243200,235900,245100,162000,140400
07-Jun,114.7,115.3,116,115.2,110.9,113.1,226500,244700,237600,246600,162100,137600
07-Jul,115.5,116,116.2,116,113,114.6,228200,246100,238000,248400,165200,139500
07-Aug,117.1,117.7,118.1,117.6,115.2,116.1,231300,249700,241900,251800,168400,141300
07-Sep,117.9,118.4,118.7,118.7,117.4,116.6,232900,251300,243000,254200,171600,141900
07-Oct,118.7,118.8,120.1,118.5,117.3,120.7,234500,252100,246000,253700,171500,146900
07-Nov,120.2,120.8,122,120.6,117.2,116.8,237300,256300,249800,258200,171300,142100
07-Dec,121,121,123.9,120.3,117.1,122.9,239000,256800,253700,257600,171200,149600
08-Jan,122,122.2,121.2,122.5,117.1,121.3,240900,259300,248200,262300,171200,147600
08-Feb,122.8,123.4,123.4,123.4,117.2,122.5,242600,261800,252800,264300,171300,149100
08-Mar,122.6,123.4,123.4,123.4,117.2,120,242100,261900,252700,264300,171300,146100
08-Apr,123.1,123.5,124.7,123.2,119.4,122.5,243100,262100,255300,263800,174500,149100
08-May,123.5,124.1,124.6,124.1,121.7,121.4,243900,263400,255100,265800,177900,147800
