Date,Composite_HPI_Peterborough,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA_Peterborough,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
05-Jan,100,100,100,100,190100,190100,189000,191900
05-Feb,100.3,100.3,99.9,101,190700,190700,188800,193800
05-Mar,100.6,100.6,99.9,102.3,191200,191200,188800,196300
05-Apr,100.7,100.7,99.6,102.4,191500,191500,188200,196600
05-May,100.9,100.9,99.7,102.9,191800,191800,188400,197400
05-Jun,101.2,101.2,99.5,103.7,192400,192400,188100,199000
05-Jul,101.9,101.9,99.9,104.8,193700,193700,188800,201100
05-Aug,102.6,102.6,100.1,106.4,195000,195000,189200,204100
05-Sep,103.3,103.3,100.2,107.4,196300,196300,189400,206100
05-Oct,103.9,103.9,101.1,108.3,197600,197600,191000,207800
05-Nov,104.6,104.6,101.9,108.7,198800,198800,192500,208600
05-Dec,105.3,105.3,102.5,109,200100,200100,193800,209200
06-Jan,105.9,105.9,103.5,109.6,201400,201400,195600,210400
06-Feb,106.5,106.5,104.2,110,202500,202500,197000,211000
06-Mar,107.1,107.1,105.1,110.7,203600,203600,198700,212500
06-Apr,107,107,103.9,111.7,203400,203400,196400,214300
06-May,106.9,106.9,102.9,113,203200,203200,194500,216800
06-Jun,106.8,106.8,101.7,114.7,203100,203100,192200,220200
06-Jul,107,107,102.9,113.4,203400,203400,194400,217700
06-Aug,107.2,107.2,103.7,112.6,203800,203800,195900,216100
06-Sep,107.4,107.4,104.5,111.2,204100,204100,197500,213400
06-Oct,107.7,107.7,104.6,112.4,204800,204800,197700,215600
06-Nov,108.1,108.1,104.9,112.9,205500,205500,198200,216600
06-Dec,108.4,108.4,104.8,113.3,206100,206100,198100,217500
07-Jan,108.6,108.6,105.4,113.3,206500,206500,199300,217400
07-Feb,108.6,108.6,105.8,112.9,206400,206400,199900,216700
07-Mar,108.6,108.6,106.2,113.1,206500,206500,200700,217000
07-Apr,109.4,109.4,106.3,114.1,207900,207900,200900,218900
07-May,110.2,110.2,106.7,115.5,209500,209500,201700,221700
07-Jun,111,111,107.1,117.3,211100,211100,202400,225100
07-Jul,112,112,108.3,117.8,212900,212900,204600,226000
07-Aug,112.9,112.9,109.2,118.7,214700,214700,206300,227700
07-Sep,113.6,113.6,110,118.9,215900,215900,207900,228200
07-Oct,114.4,114.4,110.6,120.2,217500,217500,209000,230700
07-Nov,115,115,111.1,120.7,218600,218600,210000,231700
07-Dec,115.5,115.5,111.5,121,219600,219600,210800,232200
08-Jan,115.8,115.8,111.5,122.1,220200,220200,210700,234300
08-Feb,115.6,115.6,111.2,122.5,219800,219800,210200,235000
08-Mar,115.8,115.8,110.9,123.9,220200,220200,209600,237800
08-Apr,115.3,115.3,111.4,121.4,219100,219100,210500,232900
08-May,115.2,115.2,112.3,119.2,219000,219000,212200,228800
08-Jun,114.9,114.9,113.3,117.5,218400,218400,214100,225500
08-Jul,114.5,114.5,112.9,116.8,217700,217700,213300,224200
08-Aug,114.2,114.2,112.4,116.2,217000,217000,212400,223000
08-Sep,113.2,113.2,111.8,114.8,215100,215100,211300,220300
08-Oct,112.2,112.2,110.4,115,213200,213200,208600,220600
